City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,coihaique,-45.5752,-72.0662,14.34,62,75,2.57,CL,1680539578
109,dingle,10.9995,122.6711,24.53,84,100,2.65,PH,1680539743
110,chiredzi,-21.05,31.6667,24.77,56,0,2.83,ZW,1680539289
111,grand gaube,-20.0064,57.6608,26.88,72,63,2.24,MU,1680539743
112,mar del plata,-38.0023,-57.5575,22.01,68,75,2.57,AR,1680539743
113,carutapera,-1.195,-46.02,22.79,99,100,0.2,BR,1680539291
114,hambantota,6.1241,81.1185,27.17,77,93,1.36,LK,1680539743
115,kaitangata,-46.2817,169.8464,10.3,78,98,2.39,NZ,1680539743
116,bo phloi,14.3236,99.5161,28.12,51,62,1.78,TH,1680539292
117,saint-philippe,-21.3585,55.7679,24.77,83,100,3.12,RE,1680539743
118,college,64.8569,-147.8028,-15.01,81,75,1.54,US,1680539263
119,paamiut,61.994,-49.6678,1.06,87,100,4.84,GL,1680539292
120,ponta delgada,37.7333,-25.6667,16.4,63,40,3.6,PT,1680539743
121,nouadhibou,20.931,-17.0347,24.99,57,5,8.75,MR,1680539744
122,ericeira,38.9627,-9.4156,19.82,65,20,4.63,PT,1680539292
123,pekan,3.4836,103.3996,25.06,88,37,1.56,MY,1680539292
124,castro,-24.7911,-50.0119,23.95,52,0,0.54,BR,1680539511
125,adre,13.4667,22.2,35.17,10,71,3.44,TD,1680539292
126,ottawa,45.4112,-75.6981,8.16,72,75,3.09,CA,1680539122
127,zarubino,42.63,131.0922,4.75,90,100,1.42,RU,1680539292
128,asau,46.4333,26.4,6.51,94,100,2.35,RO,1680539292
129,east london,-33.0153,27.9116,20.52,77,20,5.66,ZA,1680539467
130,stjordalshalsen,63.4681,10.9262,6.07,52,0,0.0,NO,1680539293
131,cairns,-16.9167,145.7667,25.04,97,100,1.03,AU,1680539293
132,katsuura,35.1333,140.3,10.33,61,0,5.06,JP,1680539744
133,bambous virieux,-20.3428,57.7575,26.79,83,40,2.57,MU,1680539744
134,bonnyville,54.2668,-110.735,-4.11,91,95,3.28,CA,1680539293
135,arraial do cabo,-22.9661,-42.0278,26.98,61,20,3.6,BR,1680539745
136,videbaek,56.0876,8.6285,9.28,43,39,1.48,DK,1680539293
137,cooma,-36.2333,149.1333,9.38,97,19,1.66,AU,1680539293
138,san cristobal,7.7669,-72.225,25.1,46,82,0.95,VE,1680539652
139,komsomolskiy,40.4272,71.7189,16.4,51,100,8.23,UZ,1680539294
140,viedma,-40.8135,-62.9967,22.08,42,0,2.41,AR,1680539294
141,choma,-16.8065,26.9531,20.18,75,100,3.04,ZM,1680539295
142,ornskoldsvik,63.2909,18.7153,-0.47,64,0,4.63,SE,1680539295
